RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,TOTAL DRIVES FOR 300+,TOTAL DRVS - OVERALL,RELATIVE TO PAR,Year
78,78,Padraig Harrington,67,31.91,30,94,-0.20,2012
79,79,Henrik Stenson,51,31.4,27,86,-0.44,2012
80,80,Daniel Summerhays,81,31.17,48,154,-0.13,2012
81,81,Sangmoon Bae,81,30.95,39,126,-0.28,2012
82,82,Hunter Mahan,88,30.88,42,136,-0.05,2012
83,83,Marc Leishman,84,30.77,48,156,-0.25,2012
84,84,Chad Campbell,84,30.63,49,160,-0.22,2012
85,85,James Driscoll,83,30.52,47,154,-0.30,2012
86,86,Kyle Reifers,86,30.49,50,164,-0.26,2012
87,87,Mathew Goggin,65,30.33,37,122,-0.41,2012
88,88,Bill Lunde,83,30.14,44,146,-0.30,2012
T89,T89,Miguel Angel Carballo,73,30.0,39,130,-0.21,2012
T89,T89,Pat Perez,81,30.0,45,150,-0.38,2012
91,91,Chris Kirk,93,29.78,53,178,-0.19,2012
92,92,Danny Lee,74,29.55,39,132,-0.41,2012
93,93,Matt Bettencourt,80,29.29,41,140,-0.10,2012
94,94,Kevin Stadler,85,29.22,45,154,-0.02,2012
95,95,Blake Adams,107,28.95,55,190,-0.33,2012
T96,T96,Jonathan Byrd,69,28.57,32,112,-0.19,2012
T96,T96,Andres Romero,68,28.57,32,112,-0.25,2012
98,98,J.J. Killeen,101,28.49,53,186,-0.26,2012
99,99,Jeff Overton,101,28.42,54,190,-0.39,2012
100,100,J.J. Henry,93,28.4,46,162,-0.22,2012
101,101,Roberto Castro,92,27.98,47,168,-0.40,2012
102,102,John Huh,99,27.96,52,186,-0.35,2012
103,103,Justin Rose,69,27.78,30,108,-0.27,2012
104,104,Roland Thatcher,55,27.55,27,98,-0.30,2012
105,105,Will Claxton,99,27.37,52,190,-0.31,2012
T106,T106,George McNeill,85,27.27,42,154,-0.45,2012
T106,T106,Webb Simpson,77,27.27,36,132,-0.22,2012
108,108,Y.E. Yang,64,27.0,27,100,E,2012
109,109,Steve Stricker,73,26.85,29,108,-0.41,2012
110,110,Brian Harman,101,26.77,53,198,-0.45,2012
111,111,Hunter Haas,69,26.23,32,122,-0.19,2012
112,112,Cameron Tringale,88,26.19,44,168,-0.48,2012
113,113,Brendon de Jonge,115,26.17,56,214,-0.32,2012
114,114,Cameron Beckman,81,25.97,40,154,-0.08,2012
115,115,Geoff Ogilvy,73,25.86,30,116,-0.30,2012
116,116,Tommy Biershenk,74,25.76,34,132,-0.29,2012
117,117,Rory Sabbatini,84,25.63,41,160,-0.29,2012
T118,T118,Matt Every,80,25.0,36,144,-0.28,2012
T118,T118,Steve Wheatcroft,56,25.0,25,100,-0.16,2012
120,120,Tom Gillis,75,24.67,37,150,-0.16,2012
121,121,Richard Lee,71,24.62,32,130,-0.28,2012
122,122,Rod Pampling,88,24.34,37,152,-0.41,2012
123,123,Russell Knox,72,24.24,32,132,-0.25,2012
124,124,Stephen Ames,54,23.91,22,92,-0.45,2012
125,125,Tim Herron,88,23.84,41,172,-0.27,2012
126,126,Brandt Snedeker,81,23.53,32,136,-0.13,2012
127,127,Michael Bradley,63,22.88,27,118,+0.04,2012
128,128,David Hearn,95,22.63,43,190,-0.16,2012
129,129,K.J. Choi,71,22.32,25,112,-0.28,2012
130,130,Jeff Maggert,83,22.29,37,166,-0.41,2012
131,131,Bob Estes,78,22.14,31,140,-0.19,2012
132,132,Kevin Kisner,69,22.13,27,122,-0.30,2012
133,133,Vaughn Taylor,81,22.0,33,150,-0.24,2012
134,134,Kris Blanks,65,21.88,28,128,-0.36,2012
135,135,Ryan Moore,89,21.84,38,174,-0.21,2012
136,136,Sung Kang,75,21.83,31,142,-0.26,2012
137,137,William McGirt,96,21.67,39,180,-0.26,2012
138,138,Freddie Jacobson,61,21.59,19,88,-0.16,2012
139,139,Chris Stroud,86,21.43,36,168,-0.28,2012
140,140,Graeme McDowell,55,21.05,16,76,-0.44,2012
T141,T141,Robert Allenby,76,20.83,30,144,-0.30,2012
T141,T141,D.A. Points,88,20.83,35,168,-0.29,2012
143,143,Nathan Green,73,20.77,27,130,-0.33,2012
144,144,Spencer Levin,81,20.67,31,150,-0.29,2012
145,145,Ben Crane,73,20.45,27,132,-0.26,2012
146,146,Kevin Na,80,20.29,28,138,-0.18,2012
147,147,Johnson Wagner,88,20.12,33,164,-0.09,2012
148,148,Ian Poulter,57,20.0,16,80,-0.19,2012
149,149,Arjun Atwal,79,19.86,29,146,-0.24,2012
150,150,Matt Kuchar,86,19.85,27,136,E,2012
151,151,Alexandre Rocha,62,19.64,22,112,-0.23,2012
152,152,Jonas Blixt,72,19.29,27,140,-0.56,2012
T153,T153,Ken Duke,104,18.75,36,192,-0.50,2012
T153,T153,Charlie Wi,86,18.75,30,160,-0.33,2012
155,155,Billy Mayfair,90,18.6,32,172,-0.28,2012
T156,T156,Marco Dawson,60,18.52,20,108,-0.55,2012
T156,T156,Dicky Pride,62,18.52,20,108,-0.25,2012
158,158,Chez Reavie,83,18.49,27,146,-0.33,2012
159,159,Gary Christian,91,18.24,31,170,-0.13,2012
160,160,"Ted Potter, Jr.",77,17.91,24,134,-0.25,2012
161,161,Brendon Todd,78,17.86,25,140,-0.16,2012
162,162,Kyle Thompson,51,17.78,16,90,-0.06,2012
163,163,Zach Johnson,95,17.31,27,156,-0.37,2012
164,164,Greg Chalmers,88,17.09,27,158,-0.33,2012
165,165,Justin Leonard,79,16.44,24,146,E,2012
166,166,John Mallinger,74,16.43,23,140,-0.35,2012
167,167,Stuart Appleby,75,16.2,23,142,-0.35,2012
168,168,Michael Thompson,80,15.97,23,144,-0.35,2012
169,169,Patrick Sheehan,58,15.38,16,104,-0.38,2012
170,170,Brian Gay,91,14.94,26,174,-0.27,2012
171,171,Scott Dunlap,57,14.71,15,102,-0.33,2012
172,172,Tom Pernice Jr.,62,14.66,17,116,-0.18,2012
173,173,David Toms,60,14.13,13,92,-0.46,2012
174,174,Ryuji Imada,78,13.16,20,152,-0.05,2012
175,175,Billy Hurley III,70,12.88,17,132,-0.24,2012
176,176,David Mathis,83,12.67,19,150,-0.11,2012
T177,T177,Luke Donald,63,12.5,12,96,-0.08,2012
T177,T177,Rocco Mediate,70,12.5,16,128,-0.31,2012
179,179,Heath Slocum,93,11.76,20,170,-0.15,2012
180,180,Jason Bohn,81,11.27,16,142,-0.13,2012
181,181,Jim Furyk,85,10.29,14,136,-0.14,2012
T182,T182,Tim Clark,60,10.0,10,100,-0.20,2012
T182,T182,Mark Wilson,84,10.0,14,140,-0.29,2012
184,184,Ben Curtis,62,9.62,10,104,-0.10,2012
185,185,Jerry Kelly,84,9.38,15,160,+0.13,2012
186,186,Bryce Molder,83,8.44,13,154,E,2012
187,187,Brian Davis,91,7.65,13,170,-0.15,2012
188,188,Gavin Coles,72,6.06,8,132,-0.25,2012
189,189,Colt Knost,79,6.0,9,150,-0.11,2012
190,190,Nick O'Hern,78,5.41,8,148,-0.25,2012
191,191,Chris DiMarco,83,5.06,8,158,-0.38,2012
1,1,Rory McIlroy,56,67.07,55,82,-0.15,2013
2,2,Bubba Watson,76,65.25,77,118,-0.32,2013
3,3,Gary Woodland,94,65.12,112,172,-0.25,2013
4,4,Robert Garrigus,69,63.89,69,108,-0.14,2013
5,5,Nicolas Colsaerts,50,63.51,47,74,-0.04,2013
6,6,Luke List,65,63.11,77,122,-0.34,2013
7,7,Dustin Johnson,71,62.04,67,108,-0.39,2013
8,8,Ryan Palmer,79,58.22,85,146,-0.33,2013
9,9,Jason Kokrak,78,57.89,88,152,-0.23,2013
10,10,Keegan Bradley,88,56.16,82,146,-0.39,2013
11,11,Graham DeLaet,94,53.98,95,176,-0.31,2013
12,12,Jason Day,86,53.91,69,128,-0.13,2013
13,13,Jimmy Walker,84,52.5,84,160,-0.33,2013
14,14,Kyle Stanley,71,51.59,65,126,-0.28,2013
15,15,Jim Herman,59,50.98,52,102,-0.31,2013
T16,T16,Ángel Cabrera,73,50.0,62,124,-0.16,2013
T16,T16,Eric Meierdierks,48,50.0,46,92,-0.28,2013
T16,T16,Adam Scott,61,50.0,44,88,-0.48,2013
T16,T16,Shawn Stefani,63,50.0,59,118,-0.29,2013
20,20,Sean O'Hair,56,49.11,55,112,-0.24,2013
21,21,Martin Flores,83,48.8,81,166,-0.20,2013
22,22,Seung-Yul Noh,71,48.51,65,134,+0.12,2013
23,23,Scott Piercy,78,48.41,61,126,-0.28,2013
24,24,Steven Bowditch,67,47.69,62,130,-0.31,2013
25,25,Robert Streb,75,47.18,67,142,-0.34,2013
26,26,Tag Ridings,69,46.92,61,130,-0.34,2013
27,27,Charl Schwartzel,69,46.3,50,108,-0.34,2013
28,28,Charlie Beljan,62,45.83,55,120,-0.09,2013
29,29,Morgan Hoffmann,64,45.16,56,124,-0.18,2013
30,30,Scott Stallings,79,44.93,62,138,-0.42,2013
31,31,Bobby Gates,49,44.44,40,90,-0.15,2013
32,32,Harris English,95,44.25,77,174,-0.14,2013
33,33,Brad Fritsch,81,42.86,66,154,-0.23,2013
34,34,Justin Rose,62,41.3,38,92,-0.26,2013
35,35,Tiger Woods,61,40.91,36,88,-0.33,2013
36,36,Greg Owen,73,40.85,58,142,-0.26,2013
37,37,Martin Laird,68,40.18,45,112,-0.13,2013
38,38,Charles Howell III,87,39.76,66,166,-0.39,2013
39,39,Josh Teater,86,39.29,55,140,-0.33,2013
40,40,Andres Romero,63,38.98,46,118,-0.26,2013
41,41,James Hahn,78,38.51,57,148,-0.23,2013
42,42,Henrik Norlander,70,38.24,52,136,-0.23,2013
43,43,Peter Hanson,45,37.88,25,66,-0.36,2013
44,44,Billy Horschel,96,36.93,65,176,-0.29,2013
45,45,Nick Watney,88,36.84,56,152,-0.16,2013
46,46,Steve LeBrun,66,36.29,45,124,-0.18,2013
47,47,Kevin Chappell,80,35.81,53,148,-0.32,2013
48,48,Charley Hoffman,84,35.53,54,152,-0.26,2013
49,49,Lucas Glover,65,35.45,39,110,-0.18,2013
50,50,Aaron Baddeley,68,35.16,45,128,-0.24,2013
51,51,Brandt Jobe,62,34.82,39,112,-0.21,2013
52,52,Henrik Stenson,65,34.38,33,96,-0.33,2013
53,53,Matt Jones,83,34.18,54,158,-0.26,2013
T54,T54,Troy Matteson,68,34.09,45,132,-0.31,2013
T54,T54,Cameron Percy,68,34.09,45,132,-0.40,2013
56,56,Pat Perez,69,34.06,47,138,-0.26,2013
57,57,Jeff Overton,78,33.97,53,156,-0.45,2013
58,58,Derek Ernst,58,33.93,38,112,-0.16,2013
59,59,Stewart Cink,71,33.9,40,118,-0.35,2013
60,60,Erik Compton,74,33.78,50,148,-0.42,2013
61,61,Patrick Reed,83,33.73,56,166,-0.21,2013
62,62,Carl Pettersson,82,33.33,44,132,-0.05,2013
63,63,Rory Sabbatini,86,33.13,53,160,-0.21,2013
64,64,Kevin Stadler,83,33.12,51,154,-0.43,2013
65,65,Russell Henley,80,33.09,45,136,-0.36,2013
66,66,Sergio Garcia,65,32.98,31,94,-0.42,2013
67,67,John Rollins,77,32.88,48,146,-0.29,2013
68,68,D.J. Trahan,48,32.61,30,92,-0.43,2013
69,69,Marc Leishman,77,32.31,42,130,-0.29,2013
70,70,Scott Gardiner,61,32.2,38,118,-0.32,2013
71,71,Camilo Villegas,79,32.19,47,146,-0.30,2013
72,72,Martin Kaymer,61,32.14,27,84,-0.33,2013
73,73,Hunter Mahan,91,31.69,45,142,-0.27,2013
74,74,Nicholas Thompson,99,31.58,60,190,-0.20,2013
75,75,Phil Mickelson,78,31.45,39,124,-0.33,2013
76,76,Lee Westwood,70,31.13,33,106,-0.21,2013
77,77,Bill Haas,85,30.56,44,144,-0.27,2013
78,78,Ricky Barnes,74,30.0,42,140,-0.29,2013
79,79,Ryo Ishikawa,72,29.84,37,124,-0.11,2013
T80,T80,Padraig Harrington,52,29.73,22,74,-0.09,2013
T80,T80,Jordan Spieth,82,29.73,44,148,-0.48,2013
T80,T80,Kevin Streelman,86,29.73,44,148,-0.18,2013
83,83,John Senden,79,29.69,38,128,-0.39,2013
84,84,Chad Campbell,78,29.61,45,152,-0.29,2013
85,85,Chris Kirk,89,29.41,50,170,-0.34,2013
86,86,Tommy Gainey,84,29.38,47,160,-0.15,2013
87,87,Fabián Gómez,65,28.46,37,130,-0.43,2013
88,88,Boo Weekley,100,28.33,51,180,-0.33,2013
89,89,Freddie Jacobson,63,28.13,27,96,-0.22,2013
90,90,Matt Every,89,27.01,47,174,-0.28,2013
91,91,Tom Gillis,69,26.92,35,130,-0.11,2013
92,92,Brendon de Jonge,110,26.42,56,212,-0.36,2013
93,93,Bud Cauley,67,26.27,31,118,-0.35,2013
94,94,Scott Brown,65,26.23,32,122,-0.34,2013
95,95,Andrew Svoboda,46,26.19,22,84,-0.50,2013
96,96,Sangmoon Bae,83,25.95,41,158,-0.34,2013
97,97,Daniel Summerhays,83,25.9,43,166,-0.35,2013
98,98,Ryan Moore,72,25.44,29,114,-0.24,2013
99,99,Ernie Els,63,25.0,24,96,-0.08,2013
100,100,Vijay Singh,61,24.51,25,102,-0.32,2013
101,101,Brendan Steele,86,23.75,38,160,-0.45,2013
102,102,J.J. Henry,83,23.38,36,154,-0.31,2013
103,103,Brian Harman,89,22.94,39,170,-0.15,2013
104,104,Steve Stricker,51,22.86,16,70,-0.25,2013
T105,T105,Robert Karlsson,56,22.83,21,92,-0.43,2013
T105,T105,Vaughn Taylor,50,22.83,21,92,-0.19,2013
T105,T105,Y.E. Yang,56,22.83,21,92,-0.24,2013
108,108,Rickie Fowler,75,22.5,27,120,-0.26,2013
109,109,James Driscoll,76,22.22,32,144,-0.34,2013
110,110,George McNeill,68,22.06,30,136,-0.40,2013
111,111,Bo Van Pelt,72,21.93,25,114,-0.36,2013
112,112,Alistair Presnell,59,21.7,23,106,-0.17,2013
113,113,Jason Dufner,78,21.31,26,122,-0.19,2013
114,114,Michael Bradley,56,21.15,22,104,-0.05,2013
115,115,David Lingmerth,68,20.97,26,124,-0.19,2013
116,116,Stuart Appleby,88,20.83,35,168,-0.23,2013
117,117,D.A. Points,87,20.67,31,150,-0.42,2013
118,118,Robert Allenby,58,20.54,23,112,-0.09,2013
119,119,Webb Simpson,92,20.27,30,148,E,2013
120,120,Chez Reavie,72,20.14,29,144,-0.34,2013
121,121,John Merrick,79,19.86,29,146,-0.69,2013
122,122,Jonas Blixt,76,19.85,27,136,-0.04,2013
123,123,Brandt Snedeker,79,19.84,25,126,-0.04,2013
124,124,Stephen Ames,49,19.39,19,98,-0.32,2013
125,125,Bob Estes,66,18.94,25,132,-0.24,2013
126,126,Roberto Castro,97,18.82,35,186,-0.49,2013
127,127,John Huh,88,18.42,28,152,-0.29,2013
128,128,Cameron Tringale,80,18.13,29,160,-0.34,2013
129,129,Ian Poulter,59,17.95,14,78,-0.21,2013
130,130,Rod Pampling,46,17.86,15,84,-0.47,2013
131,131,Luke Guthrie,82,17.57,26,148,-0.27,2013
132,132,Will Claxton,67,17.46,22,126,-0.36,2013
133,133,Geoff Ogilvy,57,17.02,16,94,-0.25,2013
134,134,Johnson Wagner,64,16.96,19,112,E,2013
135,135,Matt Kuchar,93,16.9,24,142,-0.54,2013
136,136,Trevor Immelman,73,16.15,21,130,-0.10,2013
137,137,William McGirt,75,16.0,24,150,-0.33,2013
138,138,Zach Johnson,84,15.94,22,138,-0.27,2013
139,139,David Hearn,88,15.63,25,160,-0.32,2013
140,140,Tim Herron,45,15.56,14,90,-0.29,2013
141,141,Ben Crane,62,15.52,18,116,-0.39,2013
142,142,Michael Thompson,66,14.81,16,108,-0.44,2013
143,143,Casey Wittenberg,72,14.71,20,136,-0.25,2013
144,144,Luke Donald,60,14.13,13,92,-0.15,2013
T145,T145,Scott Langley,79,14.08,20,142,-0.35,2013
T145,T145,Charlie Wi,75,14.08,20,142,-0.30,2013
147,147,"Ted Potter, Jr.",65,14.04,16,114,-0.44,2013
148,148,Greg Chalmers,77,13.7,20,146,-0.15,2013
149,149,Justin Bolli,59,13.64,15,110,+0.13,2013
150,150,Graeme McDowell,53,13.51,10,74,-0.20,2013
151,151,Brian Davis,91,13.48,24,178,-0.33,2013
152,152,Mark Wilson,56,13.46,14,104,-0.21,2013
153,153,D.H. Lee,65,13.08,17,130,-0.71,2013
154,154,Ken Duke,87,12.03,19,158,-0.37,2013
155,155,David Mathis,71,11.94,16,134,-0.19,2013
156,156,Justin Hicks,79,11.64,17,146,-0.41,2013
157,157,Ben Kohles,75,11.27,16,142,+0.06,2013
158,158,Darron Stiles,51,11.22,11,98,-0.18,2013
159,159,Brian Stuard,78,11.11,16,144,-0.25,2013
160,160,Richard Lee,81,11.04,17,154,-0.53,2013
161,161,K.J. Choi,85,11.03,15,136,+0.07,2013
162,162,Brian Gay,79,10.96,16,146,-0.25,2013
163,163,Lee Williams,62,10.83,13,120,-0.23,2013
T164,T164,Doug LaBelle II,72,10.29,14,136,-0.43,2013
T164,T164,David Toms,49,10.29,7,68,E,2013
166,166,David Lynn,70,10.17,12,118,-0.42,2013
167,167,Bryce Molder,82,9.38,15,160,-0.13,2013
168,168,Chris Stroud,88,8.72,15,172,-0.13,2013
T169,T169,Tim Clark,64,8.51,8,94,-0.38,2013
T169,T169,Ben Curtis,59,8.51,8,94,-0.25,2013
171,171,Jin Park,52,8.0,8,100,-0.50,2013
172,172,Jeff Maggert,63,7.94,10,126,-0.50,2013
173,173,Justin Leonard,86,7.93,13,164,-0.46,2013
174,174,Jerry Kelly,75,7.75,11,142,-0.36,2013
175,175,Jason Bohn,70,7.14,10,140,+0.10,2013
T176,T176,Jim Furyk,80,6.82,9,132,-0.22,2013
T176,T176,Aaron Watkins,46,6.82,6,88,-0.50,2013
178,178,Dicky Pride,71,6.72,9,134,-0.11,2013
179,179,Mike Weir,60,3.85,4,104,+0.25,2013
180,180,Colt Knost,69,3.08,4,130,-0.50,2013
1,1,Bubba Watson,76,77.19,88,114,-0.34,2014
2,2,J.B. Holmes,86,68.75,110,160,-0.24,2014
3,3,Dustin Johnson,58,68.6,59,86,-0.32,2014
4,4,Andrew Loupe,65,64.75,79,122,-0.23,2014
5,5,Jhonattan Vegas,77,64.67,97,150,-0.25,2014
6,6,Rory McIlroy,66,64.58,62,96,-0.15,2014
T7,T7,Charlie Beljan,76,62.5,90,144,-0.28,2014
T7,T7,Jason Day,54,62.5,45,72,-0.09,2014
T7,T7,Gary Woodland,93,62.5,95,152,-0.16,2014
10,10,Brooks Koepka,56,61.46,59,96,-0.31,2014
11,11,Robert Garrigus,80,61.25,98,160,-0.23,2014
12,12,Graham DeLaet,80,60.0,78,130,-0.18,2014
13,13,Charles Howell III,106,58.33,119,204,-0.22,2014
14,14,Lucas Glover,68,58.04,65,112,-0.22,2014
15,15,Ryan Palmer,85,58.0,87,150,-0.30,2014
16,16,Adam Scott,68,57.14,64,112,-0.22,2014
17,17,Jason Kokrak,65,56.92,74,130,-0.27,2014
18,18,Jamie Lovemark,64,55.0,66,120,-0.36,2014
19,19,Ángel Cabrera,69,54.92,67,122,-0.27,2014
20,20,Robert Streb,75,53.52,76,142,-0.21,2014
21,21,Jimmy Walker,98,53.29,81,152,-0.28,2014
22,22,Harris English,95,53.13,85,160,-0.36,2014
23,23,Charley Hoffman,93,51.76,88,170,-0.34,2014
24,24,Louis Oosthuizen,50,51.67,31,60,-0.19,2014
25,25,Brendan Steele,89,51.27,81,158,-0.28,2014
26,26,Justin Rose,70,50.96,53,104,-0.15,2014
27,27,Scott Stallings,77,50.74,69,136,-0.23,2014
28,28,Hudson Swafford,75,50.72,70,138,-0.29,2014
T29,T29,Keegan Bradley,89,50.0,70,140,-0.26,2014
T29,T29,Sean O'Hair,77,50.0,77,154,-0.16,2014
31,31,Steven Bowditch,93,48.88,87,178,-0.22,2014
32,32,Will Wilcox,51,47.96,47,98,-0.40,2014
33,33,Martin Laird,66,47.41,55,116,-0.38,2014
34,34,Charl Schwartzel,64,47.22,51,108,-0.22,2014
T35,T35,Derek Ernst,80,47.14,66,140,-0.17,2014
T35,T35,Marc Leishman,81,47.14,66,140,-0.29,2014
37,37,Nick Watney,80,46.61,55,118,-0.13,2014
38,38,Martin Flores,85,45.68,74,162,-0.28,2014
39,39,Kyle Stanley,87,45.57,72,158,-0.15,2014
40,40,Rickie Fowler,91,45.38,59,130,-0.27,2014
41,41,Seung-Yul Noh,92,44.32,78,176,-0.36,2014
42,42,Ryo Ishikawa,75,44.2,61,138,-0.34,2014
43,43,Kevin Chappell,100,44.02,81,184,-0.30,2014
44,44,Martin Kaymer,65,43.75,42,96,-0.14,2014
T45,T45,Troy Matteson,62,43.1,50,116,-0.22,2014
T45,T45,Shawn Stefani,60,43.1,50,116,-0.18,2014
47,47,Matt Jones,83,42.96,61,142,-0.25,2014
48,48,Carl Pettersson,91,42.86,78,182,-0.42,2014
49,49,Morgan Hoffmann,103,42.42,84,198,-0.17,2014
50,50,Hideki Matsuyama,82,42.31,55,130,-0.31,2014
51,51,Jim Herman,62,41.38,48,116,-0.23,2014
52,52,Kevin Tway,64,41.07,46,112,-0.15,2014
53,53,Aaron Baddeley,74,40.63,52,128,-0.19,2014
54,54,Patrick Reed,92,39.74,62,156,-0.31,2014
55,55,Andres Romero,81,39.61,61,154,-0.21,2014
56,56,Michael Putnam,106,39.22,80,204,-0.34,2014
57,57,Camilo Villegas,95,39.01,71,182,-0.08,2014
58,58,Davis Love III,74,38.89,56,144,-0.04,2014
59,59,Brad Fritsch,50,38.54,37,96,-0.16,2014
60,60,Russell Henley,92,37.82,59,156,-0.14,2014
61,61,Stewart Cink,91,37.33,56,150,-0.34,2014
62,62,Kevin Stadler,90,36.99,54,146,-0.15,2014
63,63,Hunter Mahan,88,36.67,55,150,-0.20,2014
64,64,Wes Roach,67,36.51,46,126,-0.09,2014
65,65,Rory Sabbatini,82,36.49,54,148,-0.30,2014
66,66,Bill Haas,107,35.88,61,170,-0.21,2014
67,67,Bud Cauley,56,35.71,40,112,-0.18,2014
68,68,Sergio Garcia,61,35.0,28,80,-0.25,2014
69,69,Tommy Gainey,73,34.78,48,138,-0.29,2014
70,70,Geoff Ogilvy,84,34.62,54,156,-0.19,2014
71,71,Billy Horschel,92,34.03,49,144,-0.27,2014
72,72,Tyrone Van Aswegen,79,33.97,53,156,-0.25,2014
73,73,Phil Mickelson,71,33.96,36,106,-0.11,2014
74,74,Bo Van Pelt,83,33.8,48,142,-0.27,2014
75,75,Chris Kirk,105,33.52,59,176,-0.20,2014
76,76,Josh Teater,90,33.33,56,168,-0.16,2014
77,77,Paul Casey,56,32.95,29,88,-0.10,2014
78,78,Retief Goosen,94,32.93,54,164,-0.20,2014
79,79,Webb Simpson,87,32.89,50,152,-0.02,2014
80,80,J.J. Henry,91,32.76,57,174,-0.28,2014
81,81,Ernie Els,85,32.54,41,126,-0.17,2014
82,82,Kevin Streelman,79,32.5,39,120,+0.05,2014
83,83,Ricky Barnes,92,32.39,57,176,-0.26,2014
84,84,Ben Martin,80,32.24,49,152,-0.43,2014
85,85,Trevor Immelman,84,32.05,50,156,-0.32,2014
86,86,David Lingmerth,80,31.25,45,144,-0.20,2014
87,87,Chesson Hadley,84,31.1,51,164,-0.18,2014
88,88,Vijay Singh,83,30.38,48,158,-0.31,2014
89,89,Michael Thompson,74,30.3,40,132,-0.28,2014
90,90,Kevin Kisner,85,30.12,50,166,-0.30,2014
91,91,John Rollins,84,29.61,45,152,-0.16,2014
92,92,Will MacKenzie,82,29.27,48,164,-0.23,2014
93,93,Henrik Stenson,56,28.95,22,76,-0.23,2014
94,94,James Hahn,82,28.75,46,160,-0.26,2014
95,95,John Senden,99,28.65,51,178,-0.31,2014
T96,T96,Brice Garnett,92,28.41,50,176,-0.28,2014
T96,T96,Lee Westwood,57,28.41,25,88,-0.16,2014
T98,T98,Sangmoon Bae,76,27.14,38,140,-0.45,2014
T98,T98,Gonzalo Fernandez-Castaño,83,27.14,38,140,-0.18,2014
100,100,Brian Harman,111,26.64,57,214,-0.30,2014
101,101,Jordan Spieth,102,26.22,43,164,-0.21,2014
102,102,Jason Dufner,57,26.19,22,84,-0.23,2014
103,103,Jeff Overton,80,25.69,37,144,-0.22,2014
104,104,Pat Perez,84,25.6,43,168,-0.21,2014
T105,T105,Troy Merritt,62,25.0,31,124,-0.29,2014
T105,T105,Boo Weekley,73,25.0,28,112,-0.39,2014
107,107,Andrew Svoboda,77,24.03,37,154,-0.16,2014
108,108,John Merrick,87,24.0,36,150,+0.11,2014
109,109,Richard Lee,80,23.65,35,148,-0.09,2014
110,110,Robert Allenby,83,23.42,37,158,-0.35,2014
111,111,Russell Knox,92,23.37,43,184,-0.19,2014
112,112,John Peterson,62,23.33,28,120,-0.18,2014
113,113,Jonathan Byrd,76,22.92,33,144,-0.33,2014
114,114,John Huh,87,22.73,35,154,-0.31,2014
115,115,Roberto Castro,76,22.66,29,128,-0.24,2014
116,116,Matt Every,85,22.6,33,146,-0.18,2014
117,117,Scott Brown,100,22.4,43,192,-0.14,2014
118,118,Nicholas Thompson,85,22.08,34,154,-0.41,2014
119,119,Jonas Blixt,64,21.74,20,92,-0.30,2014
120,120,Chad Campbell,57,21.7,23,106,-0.30,2014
121,121,Johnson Wagner,69,21.54,28,130,E,2014
122,122,Bronson La'Cassie,51,21.28,20,94,-0.30,2014
123,123,Ryan Moore,86,21.21,28,132,-0.21,2014
124,124,James Driscoll,71,21.13,30,142,-0.10,2014
125,125,Luke Guthrie,85,21.08,35,166,-0.40,2014
126,126,Jim Renner,61,21.05,24,114,-0.21,2014
127,127,Y.E. Yang,79,20.83,30,144,-0.13,2014
128,128,Freddie Jacobson,91,20.79,37,178,-0.19,2014
129,129,George McNeill,79,20.78,32,154,-0.13,2014
130,130,Brendon de Jonge,109,20.53,39,190,-0.21,2014
131,131,Matt Kuchar,91,19.74,30,152,-0.33,2014
132,132,D.A. Points,75,19.3,22,114,-0.05,2014
133,133,Brandt Snedeker,89,19.01,27,142,-0.11,2014
134,134,Erik Compton,88,18.9,31,164,-0.32,2014
135,135,Justin Hicks,103,18.69,37,198,-0.27,2014
136,136,Scott Langley,95,18.54,33,178,-0.30,2014
137,137,Brian Stuard,91,18.24,31,170,-0.16,2014
138,138,Bryce Molder,77,18.12,25,138,-0.44,2014
139,139,Cameron Tringale,111,17.62,37,210,-0.22,2014
T140,T140,Greg Chalmers,85,16.67,27,162,-0.37,2014
T140,T140,Ian Poulter,57,16.67,14,84,E,2014
142,142,Daniel Summerhays,98,16.49,31,188,-0.19,2014
143,143,Tim Wilkinson,86,16.46,27,164,-0.19,2014
144,144,Briny Baird,50,16.0,16,100,-0.25,2014
145,145,Charlie Wi,72,15.71,22,140,-0.27,2014
146,146,Danny Lee,84,15.63,25,160,-0.08,2014
147,147,"Ted Potter, Jr.",68,15.44,21,136,-0.14,2014
148,148,Chris Stroud,88,15.24,25,164,-0.20,2014
149,149,William McGirt,96,14.58,28,192,-0.18,2014
150,150,Zach Johnson,97,14.53,25,172,-0.20,2014
151,151,Woody Austin,63,14.41,17,118,-0.12,2014
152,152,K.J. Choi,80,14.29,20,140,-0.30,2014
153,153,Jason Bohn,81,14.2,23,162,-0.30,2014
154,154,Kevin Na,94,13.95,24,172,-0.25,2014
155,155,Spencer Levin,59,13.56,16,118,-0.25,2014
156,156,Brendon Todd,108,13.5,27,200,-0.07,2014
157,157,Billy Hurley III,86,12.82,20,156,-0.20,2014
158,158,Stuart Appleby,92,12.78,23,180,-0.13,2014
159,159,Ben Curtis,77,12.68,18,142,-0.44,2014
160,160,Brian Davis,93,12.36,22,178,-0.41,2014
161,161,Ben Crane,81,12.35,20,162,-0.20,2014
162,162,Mark Wilson,69,11.9,15,126,-0.13,2014
