name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
Chevrolet Spark 1.0 LS,2011,125000,60000,Petrol,Individual,Manual,Third Owner
Hyundai i10 Magna 1.1,2008,155000,60000,Petrol,Individual,Manual,Fourth & Above Owner
Maruti Wagon R LX BSIII,2009,130000,70000,Petrol,Individual,Manual,Fourth & Above Owner
Maruti 800 AC,2002,80000,70000,Petrol,Individual,Manual,Second Owner
Daewoo Matiz SD,2002,60000,50000,Petrol,Individual,Manual,First Owner
Maruti A-Star Lxi,2008,120000,40000,Petrol,Individual,Manual,First Owner
Tata New Safari DICOR 2.2 EX 4x2,2010,180000,120000,Diesel,Individual,Manual,Second Owner
Chevrolet Beat LT,2013,165000,50000,Petrol,Individual,Manual,First Owner
Mahindra Renault Logan 1.5 DLS,2008,89999,213000,Diesel,Individual,Manual,First Owner
Tata Nano Cx BSIII,2014,45000,7000,Petrol,Individual,Manual,Second Owner
Maruti Alto LXi,2009,110000,20000,Petrol,Individual,Manual,First Owner
Skoda Laura Ambiente 1.9 PD,2007,175000,181000,Diesel,Individual,Manual,Fourth & Above Owner
Maruti 800 AC BSIII,2005,120000,20000,Petrol,Individual,Manual,Second Owner
Chevrolet Spark 1.0 LS,2010,175000,45000,Petrol,Individual,Manual,Second Owner
Chevrolet Spark 1.0 LS,2009,170000,44800,Petrol,Individual,Manual,Second Owner
Hyundai Santro Xing XL eRLX Euro III,2006,100000,40000,Petrol,Individual,Manual,Second Owner
Maruti Omni MPI STD BSIV,2014,150000,120000,Petrol,Individual,Manual,Third Owner
Tata Indica Vista Quadrajet LX,2011,149000,10000,Diesel,Individual,Manual,Second Owner
Tata Indica Vista Aqua 1.3 Quadrajet,2011,160000,80000,Diesel,Individual,Manual,Second Owner
Maruti Baleno Vxi,2007,163000,100000,Petrol,Individual,Manual,Second Owner
Tata Indica GLS BS IV,2006,75000,100000,Petrol,Individual,Manual,Second Owner
Maruti Alto LXi,2012,180000,60000,Petrol,Individual,Manual,Second Owner
Tata Indigo GLX,2006,100000,110000,Petrol,Individual,Manual,Second Owner
Tata Manza Aura (ABS) Safire BS IV,2010,150000,50000,Petrol,Individual,Manual,Second Owner
Maruti Alto LXi BSIII,2008,180000,70000,Petrol,Individual,Manual,Third Owner
Tata Indigo LS BSII,2012,160000,110000,Diesel,Individual,Manual,First Owner
Hyundai Verna CRDi SX ABS,2009,175000,136000,Diesel,Individual,Manual,Second Owner
Maruti Alto LXi,2009,110000,50000,Petrol,Individual,Manual,Second Owner
Tata Indica Vista Aura 1.3 Quadrajet,2009,135000,90000,Diesel,Individual,Manual,Fourth & Above Owner
Maruti Ritz VDi,2011,180000,90000,Diesel,Individual,Manual,Second Owner
Hyundai Santro Xing GLS,2010,170000,50000,Petrol,Individual,Manual,Second Owner
Maruti A-Star Vxi,2011,150000,70000,Petrol,Individual,Manual,Second Owner
Tata Indica Vista Aura 1.3 Quadrajet,2009,135000,90000,Diesel,Individual,Manual,Fourth & Above Owner
Maruti Alto 800 LXI,2014,110000,25000,Petrol,Individual,Manual,First Owner
Hyundai Santro LE zipPlus,2003,70000,80000,Petrol,Individual,Manual,Third Owner
Maruti Alto 800 LX,2017,180000,60000,Petrol,Individual,Manual,First Owner
Mahindra Jeep Classic,1999,170000,2020,Diesel,Individual,Manual,Second Owner
Maruti Alto LX,2006,105000,100000,Petrol,Individual,Manual,Third Owner
Ford Figo Petrol LXI,2010,130000,110000,Petrol,Individual,Manual,First Owner
Maruti Alto LXi,2008,69000,100000,Petrol,Individual,Manual,First Owner
Maruti Zen Estilo VXI BSIII,2007,90000,90000,Petrol,Individual,Manual,First Owner
Hyundai Accent GLE CNG,2010,145000,90000,CNG,Individual,Manual,Second Owner
Tata Indica DLS,2005,70000,120000,Diesel,Individual,Manual,First Owner
Maruti Wagon R VX,2000,50000,88500,Petrol,Individual,Manual,Fourth & Above Owner
Tata Indica Vista Aqua 1.2 Safire BSIV,2010,97000,128000,Petrol,Individual,Manual,First Owner
Tata Indigo CR4,2012,130000,120000,Diesel,Individual,Manual,First Owner
Maruti Swift 1.3 VXi,2009,199000,52536,Petrol,Individual,Manual,First Owner
Honda Civic 1.8 S AT,2006,125000,70000,Petrol,Individual,Automatic,First Owner
Hyundai Santro Xing GLS,2008,125000,85000,Petrol,Individual,Manual,First Owner
Maruti Wagon R LXI BS IV,2010,110000,50000,Petrol,Individual,Manual,First Owner
Maruti Swift 1.3 VXi,2005,85000,118400,Petrol,Individual,Manual,First Owner
Maruti Esteem Lxi - BSIII,2007,75000,54000,Petrol,Individual,Manual,First Owner
Maruti SX4 ZXI AT,2009,130000,120000,Petrol,Individual,Automatic,Second Owner
Ford Fusion 1.6 Duratec Petrol,2005,120000,100000,Petrol,Individual,Manual,Third Owner
Maruti Esteem Vxi,2005,100000,20000,Petrol,Individual,Manual,Second Owner
Maruti Wagon R VXI BSIII,2005,80000,40000,Petrol,Individual,Manual,Second Owner
Hyundai EON D Lite Plus,2012,160000,70000,Petrol,Individual,Manual,Second Owner
Tata Sumo Victa EX 7/9 Str BSII,2009,130000,120000,Diesel,Individual,Manual,First Owner
Hyundai EON Era Plus,2013,160000,80000,Petrol,Individual,Manual,First Owner
Chevrolet Optra Magnum 2.0 LS,2011,195000,120000,Diesel,Individual,Manual,First Owner
Maruti Zen Estilo 1.1 LXI BSIII,2007,120000,81366,Petrol,Individual,Manual,First Owner
Maruti Esteem Vxi - BSIII,2006,95000,110000,Petrol,Individual,Manual,First Owner
Mahindra Jeep CL 500 MDI,1997,150000,120000,Diesel,Individual,Manual,Third Owner
Maruti Wagon R LXI DUO BS IV,2012,180000,60000,LPG,Individual,Manual,First Owner
Maruti Esteem Lxi - BSIII,2007,75000,54000,Petrol,Individual,Manual,First Owner
Maruti Swift 1.3 VXi,2005,160000,67000,Petrol,Individual,Manual,First Owner
Hyundai Santro Xing GLS,2008,130000,100000,Petrol,Individual,Manual,First Owner
Maruti Wagon R LXI,2005,70000,80000,Petrol,Individual,Manual,First Owner
Ford Figo Diesel EXI,2011,140000,90000,Diesel,Individual,Manual,Third Owner
Maruti Alto LXi,2008,70000,90000,Petrol,Individual,Manual,Second Owner
Maruti Eeco 5 STR With AC Plus HTR CNG,2012,160000,70000,CNG,Individual,Manual,Second Owner
Maruti Alto LXi,2010,160000,36000,Petrol,Individual,Manual,First Owner
Maruti Omni 5 Str STD LPG,1998,50000,35000,LPG,Individual,Manual,Second Owner
Maruti 800 DUO AC LPG,2009,85000,50000,LPG,Individual,Manual,Second Owner
Hyundai Accent GLX,2008,145000,60000,Petrol,Individual,Manual,First Owner
Hyundai Santro Xing XK eRLX EuroIII,2007,130000,135000,Petrol,Individual,Manual,Second Owner
Maruti 800 AC BSII,2001,45000,72539,Petrol,Individual,Manual,Second Owner
Tata Indica Vista Quadrajet LX,2013,180000,200000,Diesel,Individual,Manual,First Owner
Maruti 800 AC,2009,125000,50000,Petrol,Individual,Manual,Fourth & Above Owner
Hyundai Accent GLS,2004,120000,110000,Petrol,Individual,Manual,Second Owner
Tata Indica Vista TDI LS,2013,150000,180000,Diesel,Individual,Manual,Third Owner
Hyundai Santro Xing GL Plus,2008,120000,41723,Petrol,Individual,Manual,Second Owner
Maruti Alto K10 LXI,2012,175000,20000,Petrol,Individual,Manual,Second Owner
Hyundai Santro Xing GLS,2009,195000,27005,Petrol,Dealer,Manual,First Owner
Hyundai Santro Xing XG,2004,90000,100005,Petrol,Dealer,Manual,Second Owner
Maruti Alto LXI,2004,70000,50000,Petrol,Individual,Manual,Second Owner
Honda Civic 1.8 S MT,2007,170000,70000,Petrol,Individual,Manual,Third Owner
Tata Indica DLE,2006,45000,120000,Diesel,Individual,Manual,Second Owner
Tata Indigo LX,2011,140000,60000,Diesel,Individual,Manual,Second Owner
Maruti Swift VDI,2012,190000,80000,Diesel,Individual,Manual,Third Owner
Hyundai Accent GLX,2006,120000,110000,Petrol,Individual,Manual,Second Owner
Tata Indigo CS LE (TDI) BS-III,2011,95000,115000,Diesel,Individual,Manual,Fourth & Above Owner
Tata New Safari 4X4,2007,199000,78771,Diesel,Dealer,Manual,Second Owner
Maruti Alto LX BSIII,2007,135000,70000,Petrol,Individual,Manual,Second Owner
Maruti Wagon R LXI DUO BSIII,2009,155000,60000,LPG,Individual,Manual,Second Owner
Ford Ikon 1.8 D,2005,114999,92645,Diesel,Dealer,Manual,Fourth & Above Owner
Mahindra Bolero DI,2004,110000,120000,Diesel,Individual,Manual,Fourth & Above Owner
Tata Manza Aura (ABS) Quadrajet BS IV,2012,180000,155836,Diesel,Individual,Manual,Second Owner
Chevrolet Spark 1.0 LT,2009,70000,60000,Petrol,Individual,Manual,First Owner
Volkswagen Polo Diesel Trendline 1.2L,2011,175000,90000,Diesel,Individual,Manual,Third Owner
Tata Nano LX SE,2012,35000,35000,Petrol,Individual,Manual,Third Owner
Hyundai Santro GS,2005,80000,56580,Petrol,Dealer,Manual,First Owner
Maruti Alto LXi,2009,150000,120000,Petrol,Individual,Manual,First Owner
Tata Indigo LS,2008,105000,90000,Diesel,Individual,Manual,First Owner
Tata Indica Vista TDI LX,2013,185000,65000,Diesel,Individual,Manual,First Owner
Maruti Alto LX BSIII,2006,160000,63230,Petrol,Individual,Manual,Second Owner
Maruti Wagon R VXI,2005,100000,100000,Petrol,Individual,Manual,Third Owner
Maruti Alto 800 LXI,2017,178000,35000,Petrol,Individual,Manual,First Owner
Tata Indigo LS,2008,105000,90000,Diesel,Individual,Manual,First Owner
Tata Indica Vista TDI LX,2013,185000,65000,Diesel,Individual,Manual,First Owner
Tata Indica Vista Quadrajet LS,2012,150000,80000,Diesel,Individual,Manual,Second Owner
Maruti 800 Std,2013,170000,70000,Petrol,Individual,Manual,First Owner
Maruti Alto LX BSIII,2006,160000,63230,Petrol,Individual,Manual,Second Owner
Maruti 800 Std BSII,2006,90000,40000,Petrol,Individual,Manual,Second Owner
Maruti Wagon R VXI,2005,100000,100000,Petrol,Individual,Manual,Third Owner
Tata Indica GLS BS IV,2008,65000,110000,Petrol,Individual,Manual,Third Owner
Hyundai Santro Xing XL eRLX Euro III,2005,150000,47000,Petrol,Individual,Manual,First Owner
Maruti Swift Ldi BSIII,2008,111000,120000,Diesel,Individual,Manual,First Owner
Maruti Alto LXi,2007,100000,100000,Petrol,Individual,Manual,Second Owner
Tata Indica Vista Aqua TDI BSIII,2009,150000,30000,Diesel,Individual,Manual,First Owner
Maruti Ritz VDi,2010,148000,100000,Diesel,Individual,Manual,Second Owner
Maruti Alto LX,2006,95000,90000,Petrol,Individual,Manual,Second Owner
Mahindra Bolero SLE BSIII,2007,185000,230000,Diesel,Individual,Manual,Second Owner
Tata Indica Vista Quadrajet VX,2012,185000,40000,Diesel,Individual,Manual,First Owner
Maruti Zen LX,2000,60000,50000,Petrol,Individual,Manual,First Owner
Fiat Punto 1.2 Active,2010,80000,50000,Petrol,Individual,Manual,Second Owner
Maruti Wagon R LXI BSIII,2005,125000,50000,Petrol,Individual,Manual,Second Owner
Maruti Alto LXi BSII,2002,100000,80000,Petrol,Individual,Manual,Fourth & Above Owner
Maruti A-Star Vxi,2010,130000,70000,Petrol,Individual,Manual,Second Owner
Tata Indica DLS,2006,57000,80000,Diesel,Individual,Manual,Second Owner
Hyundai Santro GLS I - Euro I,2005,75000,60000,Petrol,Individual,Manual,First Owner
Maruti 800 DX,2003,60000,35000,Petrol,Individual,Manual,First Owner
Maruti Alto LXi BSIII,2008,125000,70000,Petrol,Individual,Manual,First Owner
Honda City 1.5 EXI S,2004,105000,100000,Petrol,Individual,Manual,Third Owner
Maruti Wagon R LXI DUO BSIII,2008,125000,152000,LPG,Individual,Manual,Second Owner
Maruti Zen LXI,1998,69000,70000,Petrol,Individual,Manual,Second Owner
Tata Indigo LX,2012,130000,90000,Diesel,Individual,Manual,Second Owner
Hyundai Santro Xing XG eRLX Euro III,2006,60000,120000,Petrol,Individual,Manual,Third Owner
Ford Fiesta Titanium 1.5 TDCi,2012,165000,120000,Diesel,Individual,Manual,First Owner
Chevrolet Beat LS,2016,170000,125000,Petrol,Individual,Manual,First Owner
Tata Indica Vista Quadrajet LX,2012,120000,80000,Diesel,Individual,Manual,Third Owner
Ford Figo Diesel LXI,2011,180000,70000,Diesel,Individual,Manual,Second Owner
Chevrolet Aveo 1.6 LT,2006,150000,34600,Petrol,Individual,Manual,Third Owner
Ford Figo Petrol ZXI,2011,185000,50000,Petrol,Individual,Manual,Third Owner
Hyundai Santro LP zipPlus,2001,52000,50000,Petrol,Individual,Manual,Third Owner
Tata Indica Vista Aqua TDI BSIII,2009,150000,30000,Diesel,Individual,Manual,First Owner
Chevrolet Spark 1.0 LS,2010,175000,45000,Petrol,Individual,Manual,Second Owner
Chevrolet Spark 1.0 LS,2009,170000,44800,Petrol,Individual,Manual,Second Owner
Maruti Ritz VDi,2010,148000,100000,Diesel,Individual,Manual,Second Owner
Maruti Wagon R VXI Minor,2007,80000,60000,Petrol,Individual,Manual,Third Owner
Chevrolet Beat PS,2014,170000,77000,Petrol,Individual,Manual,First Owner
Hyundai Accent Executive,2011,150000,60000,Petrol,Individual,Manual,First Owner
Tata Manza Aura (ABS) Safire BS IV,2010,110000,77073,Petrol,Individual,Manual,Second Owner
Maruti Alto LX BSIII,2007,125000,100000,Petrol,Individual,Manual,Second Owner
Chevrolet Beat LT,2010,135000,80000,Petrol,Individual,Manual,Second Owner
Maruti Alto LXi,2008,95000,70000,Petrol,Individual,Manual,First Owner
Ford Figo Diesel Celebration Edition,2013,190000,120000,Diesel,Individual,Manual,First Owner
Maruti Wagon R LXI Minor,2009,150000,70000,Petrol,Individual,Manual,First Owner
Hyundai Accent GLE,2009,114999,106000,Petrol,Individual,Manual,Third Owner
Chevrolet Aveo 1.6 LT with ABS,2010,140000,120000,Petrol,Individual,Manual,Second Owner
Hyundai i10 Magna 1.2,2010,150000,90000,Petrol,Individual,Manual,Second Owner
Chevrolet Spark 1.0 LS,2008,50000,70000,Petrol,Individual,Manual,First Owner
Mahindra Bolero SLX,2008,155000,100000,Diesel,Individual,Manual,First Owner
Mahindra Bolero SLX,2008,155000,100000,Diesel,Individual,Manual,First Owner
Hyundai Santro LS zipPlus,2002,60000,120000,Petrol,Individual,Manual,Third Owner
Skoda Laura L n K 1.9 PD,2008,180000,144000,Diesel,Individual,Manual,Third Owner
Tata Nano CX SE,2015,110000,45000,Petrol,Dealer,Manual,First Owner
Hyundai Verna CRDi ABS,2007,175000,80000,Diesel,Individual,Manual,Second Owner
Maruti Alto 800 LXI,2013,92800,25000,Petrol,Individual,Manual,Second Owner
Maruti Alto 800 LXI,2013,92800,25000,Petrol,Individual,Manual,Second Owner
Maruti Omni 8 Seater BSIV,2013,170000,35000,Petrol,Individual,Manual,First Owner
Ford Fiesta 1.4 ZXi TDCi ABS,2009,150000,110000,Diesel,Individual,Manual,Second Owner
Maruti Alto LXI,2003,60000,5000,Petrol,Individual,Manual,Second Owner
Maruti Alto LX,2006,52000,120000,Petrol,Individual,Manual,Third Owner
Maruti Omni LPG CARGO BSIII W IMMOBILISER,2009,80000,90000,LPG,Individual,Manual,Second Owner
Maruti Alto LX,2012,140000,70000,Petrol,Individual,Manual,Second Owner
Hyundai Verna i (Petrol),2008,120000,90000,Petrol,Individual,Manual,Second Owner
Ford Fiesta Classic 1.4 SXI Duratorq,2006,110000,120000,Diesel,Individual,Manual,Third Owner
Tata Nano Twist XT,2015,73000,57000,Petrol,Individual,Manual,First Owner
Mahindra Scorpio SLX 2.6 Turbo 8 Str,2007,190000,160000,Diesel,Individual,Manual,Second Owner
Hyundai Accent GLE 1,1999,60000,90000,Petrol,Individual,Manual,Fourth & Above Owner
Hyundai Getz GLX,2005,70000,90000,Petrol,Individual,Manual,Third Owner
Chevrolet Optra Magnum 2.0 LS,2011,195000,120000,Diesel,Individual,Manual,First Owner
Maruti A-Star Vxi,2010,180000,40000,Petrol,Individual,Manual,First Owner
Hyundai Santro Xing XG eRLX Euro III,2006,90000,120000,Petrol,Individual,Manual,Second Owner
Tata Nano Cx BSIV,2011,75000,9528,Petrol,Dealer,Manual,First Owner
Hyundai Accent GLS,2007,125000,76000,Petrol,Dealer,Manual,Third Owner
Maruti Ritz VDi,2009,175000,80000,Diesel,Individual,Manual,Third Owner
Chevrolet Beat Diesel PS,2012,130000,58000,Diesel,Dealer,Manual,First Owner
Tata Indigo CS eLX BS IV,2013,175000,50300,Diesel,Individual,Manual,First Owner
Tata Indigo CR4,2011,150000,70000,Diesel,Individual,Manual,Second Owner
Tata Indica Vista TDI LS,2011,195000,60000,Diesel,Individual,Manual,Third Owner
Maruti Alto 800 Base,2014,175000,40000,Petrol,Individual,Manual,First Owner
Hyundai Santro AT CNG,2005,130000,110000,CNG,Individual,Manual,Second Owner
Chevrolet Beat LT,2010,114999,70000,Petrol,Individual,Manual,Second Owner
Hyundai Tucson CRDi,2006,170000,170000,Diesel,Individual,Manual,First Owner
Tata Indigo TDI,2008,80000,150000,Diesel,Individual,Manual,Third Owner
Hyundai Santro Xing XG eRLX Euro III,2005,70000,170000,Petrol,Individual,Manual,Third Owner
Hyundai Santro Xing GLS,2010,120000,90000,Petrol,Individual,Manual,Third Owner
Tata Sumo LX,2009,100000,66778,Diesel,Individual,Manual,First Owner
Hyundai EON Era Plus,2014,190000,50000,Petrol,Individual,Manual,First Owner
Maruti Omni E 8 Str STD,2001,85000,70000,Petrol,Individual,Manual,Third Owner
OpelCorsa 1.6Gls,2004,142000,73000,Petrol,Individual,Manual,Fourth & Above Owner
Hyundai EON D Lite,2014,180000,76000,Petrol,Individual,Manual,Second Owner
Hyundai Santro Xing XG,2003,85000,110000,Petrol,Individual,Manual,Second Owner
Hyundai i10 Era,2009,140000,80000,Petrol,Individual,Manual,Third Owner
Hyundai Santro Xing GL,2011,150000,157000,Petrol,Individual,Manual,First Owner
Tata Indica Vista Quadrajet LS,2012,150000,80000,Diesel,Individual,Manual,Second Owner
Maruti 800 Std BSII,2006,90000,40000,Petrol,Individual,Manual,Second Owner
Chevrolet Aveo U-VA 1.2 LT WO ABS Airbag,2009,110000,38500,Petrol,Individual,Manual,Second Owner
Hyundai i10 Magna,2008,140000,103921,Petrol,Individual,Manual,Second Owner
Ford Figo Diesel Titanium,2010,160000,102307,Diesel,Dealer,Manual,First Owner
Maruti Zen LX,2004,105000,79000,Petrol,Individual,Manual,Second Owner
Maruti Wagon R LXI,2004,70000,90000,Petrol,Individual,Manual,Fourth & Above Owner
Chevrolet Beat Diesel,2012,160000,110000,Diesel,Individual,Manual,First Owner
Chevrolet Beat Diesel LS,2012,160000,50000,Diesel,Individual,Manual,First Owner
Honda City 1.3 EXI,2002,145000,100000,Petrol,Individual,Manual,First Owner
Hyundai Getz 1.5 CRDi GVS,2008,110000,154000,Diesel,Individual,Manual,Third Owner
Maruti Swift LXI,2011,175000,70000,Petrol,Individual,Manual,First Owner
Maruti Alto LX BSIII,2008,85000,120000,Petrol,Individual,Manual,Second Owner
Hyundai Santro GS,2005,80000,56580,Petrol,Dealer,Manual,First Owner
Hyundai Santro GS,2005,80000,56580,Petrol,Dealer,Manual,First Owner
Chevrolet Spark 1.0 LS,2011,140000,60000,Petrol,Individual,Manual,Second Owner
Maruti Alto LXi,2011,150000,70000,Petrol,Individual,Manual,First Owner
Hyundai Accent CRDi,2006,170000,245244,Diesel,Individual,Manual,Fourth & Above Owner
Hyundai Accent CRDi,2002,85000,100000,Diesel,Individual,Manual,Third Owner
Hyundai Santro GS,2005,80000,56580,Petrol,Dealer,Manual,First Owner
Hyundai Santro Xing XG,2005,70000,68500,Petrol,Dealer,Manual,First Owner
Nissan Micra Active XV S,2013,164000,30000,Petrol,Individual,Manual,First Owner
Honda City 1.5 V AT,2008,140000,70000,Petrol,Individual,Automatic,First Owner
Maruti Alto LXI,2005,56000,23000,Petrol,Individual,Manual,Second Owner
Hyundai Verna 1.6 VTVT,2010,190000,38000,Petrol,Dealer,Manual,First Owner
Chevrolet Spark 1.0 LS,2009,135000,90000,Petrol,Individual,Manual,First Owner
Tata Indica Vista Terra 1.4 TDI,2010,100000,80000,Diesel,Individual,Manual,First Owner
Tata Indica Vista Aqua 1.4 TDI,2011,90000,54000,Diesel,Individual,Manual,First Owner
Chevrolet Beat Diesel LS,2012,160000,50000,Diesel,Individual,Manual,First Owner
Maruti Swift LXI,2011,175000,70000,Petrol,Individual,Manual,First Owner
Maruti Zen Estilo Sports,2008,140000,120000,Petrol,Individual,Manual,First Owner
Hyundai Verna CRDi ABS,2007,175000,80000,Diesel,Individual,Manual,Second Owner
Maruti Alto 800 LXI,2013,92800,25000,Petrol,Individual,Manual,Second Owner
Maruti Alto 800 LXI,2013,92800,25000,Petrol,Individual,Manual,Second Owner
Maruti Omni 5 Str STD,1998,65000,60000,Petrol,Dealer,Manual,Third Owner
Maruti Wagon R LXI,2005,75000,70000,Petrol,Individual,Manual,Second Owner
Maruti Alto K10 LXI,2010,175000,64000,Petrol,Dealer,Manual,First Owner
Toyota Corolla H3,2003,95000,120000,Petrol,Individual,Automatic,Second Owner
Chevrolet Beat Diesel LT Option,2009,195000,57000,Diesel,Dealer,Manual,Second Owner
Hyundai Santro GLS I - Euro II,2007,135000,85000,Petrol,Dealer,Manual,First Owner
Chevrolet Spark 1.0 PS,2010,110000,73000,Petrol,Individual,Manual,First Owner
Maruti Alto LXi,2007,90000,100000,Petrol,Individual,Manual,Second Owner
Mahindra Scorpio 2.6 CRDe,2005,175000,250000,Diesel,Individual,Manual,Second Owner
Maruti Swift VXI BSIII,2006,160000,95149,Petrol,Dealer,Manual,Second Owner
Maruti Alto LXi,2009,140000,80000,Petrol,Individual,Manual,Second Owner
Hyundai EON 1.0 Era Plus,2018,100000,21302,Petrol,Individual,Manual,First Owner
Hyundai Getz 1.3 GLS,2010,150000,105546,Petrol,Individual,Manual,First Owner
Maruti Alto LXi BSIII,2009,130000,80000,Petrol,Individual,Manual,Second Owner
Maruti Swift Dzire VDi,2009,150000,120000,Diesel,Individual,Manual,Second Owner
Maruti Swift Dzire LXi,2011,150000,100000,Petrol,Individual,Manual,Second Owner
Honda City 1.3 EXI,2003,120000,132343,Petrol,Individual,Manual,Second Owner
Maruti Wagon R VXI BS IV,2007,100000,60000,Petrol,Individual,Manual,Second Owner
Maruti 800 EX,2004,30000,60000,Petrol,Individual,Manual,Third Owner
Maruti Wagon R LXI,2009,180000,30375,Petrol,Dealer,Manual,First Owner
Chevrolet Beat Diesel LS,2013,195000,47253,Diesel,Dealer,Manual,First Owner
Tata Indica GLS BS IV,2010,75000,110000,Petrol,Individual,Manual,Second Owner
Tata Indica Vista Terra 1.4 TDI,2009,93000,70000,Diesel,Individual,Manual,Second Owner
Maruti Alto Green LXi (CNG),2010,88000,80251,CNG,Dealer,Manual,Second Owner
Ford Ikon 1.4 ZXi,2000,22000,42743,Petrol,Dealer,Manual,Third Owner
Chevrolet Beat Diesel LS,2013,130000,93900,Diesel,Individual,Manual,Second Owner
Maruti Zen VXi - BS III,2004,79000,80000,Petrol,Individual,Manual,First Owner
Chevrolet Beat Diesel LS,2012,120000,110000,Diesel,Individual,Manual,First Owner
Maruti A-Star Lxi,2009,145000,25000,Petrol,Individual,Manual,First Owner
Hyundai Accent GLX,2010,145000,110000,Petrol,Individual,Manual,Second Owner
Tata Indica Vista Aqua 1.3 Quadrajet ABS BSIV,2012,198000,70000,Diesel,Individual,Manual,Second Owner
Ford Endeavour 4x2 XLT,2004,195000,120000,Diesel,Individual,Manual,First Owner
Hyundai EON Sportz,2012,150000,55766,Petrol,Individual,Manual,Second Owner
Maruti 800 Std,2001,65000,60000,Petrol,Individual,Manual,Third Owner
Maruti Alto 800 LXI,2006,165000,132000,Petrol,Individual,Manual,First Owner
Tata Indigo TDI,2013,182000,100000,Diesel,Individual,Manual,First Owner
Tata Indica Vista Terra 1.4 TDI,2010,100000,80000,Diesel,Individual,Manual,First Owner
Hyundai Santro Xing XL eRLX Euro III,2006,100000,40000,Petrol,Individual,Manual,Second Owner
Hyundai Santro Xing GLS,2009,195000,27005,Petrol,Dealer,Manual,First Owner
Maruti Zen VX,2001,85000,86000,Petrol,Individual,Manual,Second Owner
Maruti Omni LPG STD BSIV,2006,60000,135000,LPG,Individual,Manual,Fourth & Above Owner
Maruti Zen D PS,2003,110000,120000,Diesel,Individual,Manual,Third Owner
Hyundai Santro Xing GLS,2008,190000,70000,Petrol,Individual,Manual,Third Owner
Maruti Alto 800 LXI,2015,114999,35000,Petrol,Individual,Manual,First Owner
Chevrolet Aveo U-VA 1.2 LT,2008,114999,70000,Petrol,Individual,Manual,Third Owner
Maruti Wagon R VXI,2000,105000,80000,Petrol,Individual,Manual,First Owner
Hyundai Santro Xing XO,2007,80000,58000,Petrol,Dealer,Manual,Second Owner
Chevrolet Beat Diesel,2012,160000,110000,Diesel,Individual,Manual,First Owner
Maruti Swift 1.3 VXI ABS,2006,95000,110000,Petrol,Individual,Manual,Third Owner
Maruti Alto LX,2008,65000,140000,Petrol,Individual,Manual,First Owner
Hyundai Getz 1.5 CRDi GVS,2008,110000,154000,Diesel,Individual,Manual,Third Owner
Hyundai EON Sportz,2012,150000,80000,Petrol,Individual,Manual,First Owner
Maruti Zen D PS,2003,75000,110000,Diesel,Individual,Manual,Second Owner
Chevrolet Beat LS,2010,99000,60000,Petrol,Individual,Manual,Second Owner
Tata Indigo GLX,2006,75000,40000,Petrol,Individual,Manual,Second Owner
Fiat Grande Punto Active (Diesel),2009,125000,95000,Diesel,Individual,Manual,Second Owner
Chevrolet Aveo U-VA 1.2 LS,2009,130000,87293,Petrol,Dealer,Manual,First Owner
Hyundai EON 1.0 Kappa Magna Plus,2015,170000,80000,Petrol,Individual,Manual,Second Owner
Chevrolet Spark 1.0 LT,2011,130000,68519,Petrol,Dealer,Manual,First Owner
Chevrolet Beat Diesel LS,2012,180000,55130,Diesel,Dealer,Manual,First Owner
Maruti Zen VXI,2000,100000,120000,Petrol,Individual,Manual,First Owner
Maruti Wagon R LXI Minor,2007,160000,80000,Petrol,Individual,Manual,Second Owner
Tata Indigo TDI,2013,182000,100000,Diesel,Individual,Manual,First Owner
Mahindra Jeep MM 550 XDB,2002,150000,50000,Diesel,Individual,Manual,Third Owner
Maruti Alto STD,2008,80000,100000,Petrol,Individual,Manual,Second Owner
Maruti Esteem Lxi,2005,60000,60000,Petrol,Individual,Manual,Third Owner
Maruti Alto LX,2007,70000,120000,Petrol,Individual,Manual,Third Owner
Maruti Alto LXi BSIII,2006,135000,90000,Petrol,Individual,Manual,Third Owner
Maruti Alto LXi,2006,150000,75118,Petrol,Individual,Manual,Second Owner
Chevrolet Optra 1.6,2006,120000,79000,Petrol,Dealer,Manual,Fourth & Above Owner
Ford Ikon 1.6 ZXI NXt,2005,20000,25000,Petrol,Individual,Manual,Second Owner
Hyundai Santro Xing GL Plus,2008,120000,41723,Petrol,Individual,Manual,Second Owner
Ford Ikon 1.3 Flair,2005,61000,4637,Petrol,Individual,Manual,Second Owner
Tata Indica Vista Aqua 1.3 Quadrajet,2009,85000,120000,Diesel,Individual,Manual,Second Owner
Maruti Swift Vdi BSIII,2009,180000,220000,Diesel,Individual,Manual,First Owner
Fiat Grande Punto Active (Diesel),2009,125000,95000,Diesel,Individual,Manual,Second Owner
Fiat Punto 1.3 Active,2010,99000,80000,Diesel,Individual,Manual,Second Owner
Hyundai i10 Sportz 1.2,2010,125000,60000,Petrol,Individual,Manual,Third Owner
Maruti 800 Std BSIII,2003,60000,50000,Petrol,Individual,Manual,First Owner
Maruti Alto LX,2004,80000,120000,Petrol,Individual,Manual,First Owner
Maruti Alto LXi,2008,114999,30000,Petrol,Individual,Manual,First Owner
Maruti Alto LXi BSIII,2008,105000,30000,Petrol,Individual,Manual,Second Owner
